source_index,Company Name,Rating,raw_review_text,Nhãn thật,Baseline,Threshold 0.30,P(Negative),Cặp nhầm,Nhóm tín hiệu,Độ chắc chắn lỗi
2642,FPT Software,2,"Dành cho Fresher . Công ty đông, đa dạng.
Nhiều đơn vị, nhiều team công nghệ đa dạng. thích hợp cho fresher.
Gái nhiều. . Mức lương và chế độ phụ thuộc vào từng đơn vị.
OT, ON nhiều.
Tăng lương chậm.
Không có định hướng career path.",Negative,Neutral,Neutral,0.05787600698708682,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.9421239930129132
2564,FPT Software,2,"Môi trường làm việc dành cho fresher . không gian làm việc rộng rãi, đồng nghiệp nếu gặp được người hợp với mình thì dự án rất là vui . Làm outsourcing và định hướng công ty là bán người nên làm một dự án khá là mệt khi toàn tuyển người là fresher cho đủ số lượng để chạy dự án
OT tính không fair, lúc được tính, lúc lại không.",Negative,Neutral,Neutral,0.09154838873174596,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.908451611268254
3144,FPT Software,2,"Môi trường tốt cho sinh viên mới ra trường . - Môi trường tốt để học tập, rèn luyện kỹ năng.
- Phù hợp với những bạn đi theo hướng quản lý. . - OT rất nhiều và không được trả bonus xứng đáng tuỳ vào từng bộ phận.
- Tăng lương chậm.
- Không muốn giữ chân nhân tài, thích tuyển dụng fresher nên phần lớn chất lượng dự án kém.",Negative,Neutral,Neutral,0.09384877671559252,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.9061512232844074
2592,FPT Software,2,"môi trường thoải mái thân thiện . Môi trường thoải mái, thư giãn, không gian trong lành, đồng nghiệp thân thiện, đầu vào dễ
có nhà nghỉ cho nhân viên ON 100k/người =))), OT rõ ràng vì có tool . lương thấp, hay phải OT, sếp đánh giá cảm tính, tăng lương ít",Negative,Neutral,Neutral,0.0994455569952353,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.9005544430047647
3814,Hitachi Digital Services,2,"Ổn cho người mới ra trường . Giờ giấc thoải mái, linh hoạt tuy nhiên cũng tùy thuộc dự án
Lương trả đúng ngày, có trợ cấp cho người biết tiếng nhật từ N3 trở lên khá tốt
Do là công ty nhật, thích hợp với những người thích văn hóa nhật . Lương thấp và tăng chậm, review tăng lương đã ít năm nay lại còn do covid không tăng lương luôn, quá nản
Đa số là OT tự nguyện, còn tiền trả OT thì may rủi tất cả tùy thuộc vào khách hàng và dự án",Negative,Neutral,Neutral,0.10188572613855358,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.8981142738614464
397,Bosch Global Software Technologies Company Limited,2,"môi trường ok . môi trường tốt, đồng nghiệp thân thiện, tận tình chỉ . không có bộ phận training, chỉ đơn giản là người đi trước chỉ việc người đi sau, tăng lương chậm",Negative,Neutral,Neutral,0.10615596431286628,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.8938440356871338
466,Bosch Global Software Technologies Company Limited,2,"Cần OT nhiều để kịp deadline . Môi trường làm việc tốt, thoải mái.
Đồng nghiệp vui vẻ, hòa đồng. . Đa phần là support cho Bosch Ấn Độ.
Không phù hợp cho sinh viên mới ra trường muốn đi theo hướng thiên về kỹ thuật.
Nếu vào theo đúng chuyên ngành và department thì sẽ có công việc phù hợp, còn không thì sẽ rất chán.
Tùy theo project, cần OT nhiều để kịp deadline, nhưng không có benefits xứng đáng, lương không cao.
Cần cải thiện thời gian estimate, giảm thời gian OT.
Đánh gia tăng lương còn nhiều điểm không hợp lý.",Negative,Neutral,Neutral,0.12122819986346046,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.8787718001365395
2323,FPT Software,2,"Tốt cho Newbie . Công ty lớn, nhiều cơ hội phát triển theo nhiều hướng khác nhau. Cơ sở vật chất tốt, ăn tại công ty nên sẽ tiết kiệm được nhiều tiền. Lâu lâu căng thẳng quá thì đi uống cafe trên căng tin cũng ok. Nhìn chung đồng nghiệp thì thấy mọi người hỗ trợ nhau rất tốt. Chỉ có cảm giác có gì đó không rõ ràng ở cấp quản lý.
Tốt để học hỏi và lấy kinh nghiệm . Tuỳ theo dự án mà cảm nhận của bạn sẽ khác nhau. Có dự án sẽ học hỏi được nhiều thứ, có teamlead giỏi thì mọi sẽ rõ ràng và trơn tru, công bằng, ngược lại thì có thể sẽ hơi cảm thấy ức chế. Công việc nhìn chung thì nhàn, bạn làm giỏi thì không cần ot.
Ok cho các bạn fresher, mới ra trường còn non kinh nghiệm hoặc base IT yếu.",Negative,Neutral,Neutral,0.12252172429450284,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.8774782757054972
3037,FPT Software,2,"Phù hợp cho các bạn mới ra trường . Văn phòng đẹp, có quy trình làm việt chặt chẽ, rất tốt để học hỏi . OT nhiều, sếp đánh giá chủ quan, có một số quy trình rườm rà mất time
OT nhiều nhưng chế độ không rõ ràng, các dự án làm với khách hàng Nhật làm rất mệt",Negative,Neutral,Neutral,0.14151925319512434,Negative → Neutral,Phủ định hoặc sắc thái đảo chiều,0.8584807468048756
3174,FPT Software,1,"sếp chán vđ . văn phòng đẹp, giờ giấc thoải mái, làm việc dễ chịu . công việc như lồng, cách làm việc ko khoa học, hiệu quả công việc kém, sếp bất tài",Negative,Neutral,Neutral,0.14713989673801542,Negative → Neutral,Sắc thái hoặc ngữ cảnh chưa rõ,0.8528601032619846
